amount,failure_type,payment_method,customer_history,retry_number,time_since_failure_hours,card_issuer,is_recoverable
4515.78,hard_decline,card,bad,2,46,None,0
9879.54,timeout,card,good,3,48,HDFC,1
2356.84,hard_decline,netbanking,medium,3,64,ICICI,0
16333.98,soft_decline,upi,bad,1,34,None,0
19495.0,soft_decline,card,medium,3,34,ICICI,0
13640.32,soft_decline,upi,good,2,66,Axis,1
41454.0,hard_decline,upi,medium,3,3,HDFC,0
17901.99,soft_decline,upi,good,1,23,ICICI,1
14118.63,soft_decline,netbanking,bad,2,35,None,0
27180.53,timeout,card,good,2,55,SBI,1
7132.12,timeout,card,good,1,3,None,1
40129.63,timeout,upi,good,1,39,HDFC,1
3820.08,hard_decline,card,medium,3,42,Axis,0
49345.66,timeout,upi,bad,1,57,ICICI,1
38635.01,duplicate,card,good,1,61,None,0
10015.91,timeout,card,good,1,6,None,0
375.55,timeout,card,medium,1,8,Axis,0
40791.53,soft_decline,upi,bad,2,21,HDFC,1
35372.18,duplicate,upi,medium,2,3,SBI,0
36477.46,soft_decline,card,medium,2,35,SBI,1
38586.39,soft_decline,card,medium,1,69,None,0
3794.83,hard_decline,card,good,3,66,SBI,0
17987.44,soft_decline,upi,medium,3,34,ICICI,0
5881.87,duplicate,card,medium,3,32,Axis,0
43168.86,hard_decline,upi,bad,3,6,Axis,0
31202.58,hard_decline,upi,bad,2,54,None,0
16611.81,timeout,card,bad,3,46,None,1
3271.56,hard_decline,upi,medium,2,61,None,1
15618.02,soft_decline,card,medium,3,66,Axis,1
16326.65,timeout,upi,good,3,63,SBI,1
36507.35,timeout,card,bad,2,42,None,1
31914.12,hard_decline,card,medium,2,17,ICICI,0
44371.92,timeout,upi,bad,3,2,None,0
23663.52,soft_decline,card,good,1,58,SBI,1
6067.75,soft_decline,upi,bad,3,61,HDFC,0
35690.91,soft_decline,upi,medium,3,38,None,1
38063.17,soft_decline,upi,good,3,63,Axis,0
28107.73,timeout,card,medium,2,59,HDFC,1
38571.26,timeout,upi,bad,3,41,SBI,0
24740.4,soft_decline,upi,bad,1,4,SBI,0
26184.37,hard_decline,card,bad,3,45,Axis,0
21434.3,timeout,upi,good,1,3,Axis,0
1368.41,soft_decline,netbanking,bad,1,13,HDFC,0
5483.78,soft_decline,card,medium,1,10,HDFC,0
1668.32,duplicate,netbanking,medium,3,59,None,0
31856.88,timeout,card,good,2,21,None,1
15786.36,duplicate,card,good,2,4,None,0
25477.68,soft_decline,card,good,3,52,SBI,0
45387.57,timeout,upi,bad,3,11,SBI,0
12539.68,soft_decline,card,good,1,20,None,1
20578.11,soft_decline,netbanking,good,3,23,SBI,0
37802.0,hard_decline,netbanking,medium,2,12,ICICI,0
11517.03,soft_decline,upi,medium,3,25,Axis,1
3941.3,soft_decline,card,good,3,39,SBI,1
14558.6,soft_decline,netbanking,good,3,25,None,1
8144.94,soft_decline,netbanking,good,1,44,None,1
46491.91,timeout,card,medium,3,29,None,0
40425.21,hard_decline,upi,good,3,63,HDFC,0
31706.85,soft_decline,upi,medium,3,37,SBI,1
43585.88,soft_decline,upi,good,2,17,None,1
40203.24,soft_decline,card,good,1,8,SBI,1
9409.85,timeout,card,medium,1,55,Axis,0
44638.69,soft_decline,card,good,2,37,None,0
27013.18,timeout,card,good,1,20,SBI,1
40391.26,soft_decline,upi,medium,2,70,SBI,1
44814.96,soft_decline,netbanking,medium,1,11,HDFC,1
15968.37,timeout,netbanking,bad,1,35,None,1
5591.59,timeout,upi,good,1,10,None,1
11473.96,soft_decline,upi,bad,3,66,None,0
21412.68,timeout,card,bad,1,26,ICICI,0
40918.94,hard_decline,upi,bad,3,62,Axis,1
43050.46,timeout,card,medium,3,70,HDFC,0
446.91,timeout,card,bad,3,65,ICICI,1
25586.29,timeout,upi,good,2,66,SBI,1
20928.81,duplicate,card,good,1,64,HDFC,0
11183.18,soft_decline,card,good,1,33,HDFC,1
6081.28,timeout,netbanking,bad,1,33,None,1
16947.0,hard_decline,card,medium,3,63,None,1
47151.19,soft_decline,card,bad,1,16,ICICI,0
16227.83,soft_decline,card,good,3,50,HDFC,1
25987.65,soft_decline,card,bad,3,55,None,1
35180.65,timeout,card,bad,3,47,None,1
18245.12,hard_decline,upi,bad,3,61,Axis,0
48591.93,hard_decline,card,medium,1,55,ICICI,0
48126.12,soft_decline,netbanking,bad,3,10,HDFC,0
12663.94,hard_decline,card,bad,2,19,None,0
24912.7,duplicate,card,medium,2,67,None,0
15113.83,soft_decline,upi,medium,2,33,None,0
14313.54,timeout,upi,bad,3,41,None,1
1940.66,timeout,upi,medium,1,40,HDFC,0
30517.26,timeout,netbanking,bad,1,61,HDFC,1
25183.68,hard_decline,card,good,3,16,HDFC,0
2668.79,timeout,card,medium,3,11,ICICI,1
14004.46,soft_decline,netbanking,good,3,67,None,1
45422.47,timeout,card,good,2,40,None,1
12054.14,soft_decline,card,good,3,13,ICICI,1
7330.25,soft_decline,card,bad,3,3,SBI,0
24523.69,soft_decline,upi,good,1,13,SBI,1
49283.96,timeout,card,bad,1,8,HDFC,1
12178.56,hard_decline,card,bad,2,42,None,1
33639.56,soft_decline,card,medium,2,19,SBI,1
38104.82,soft_decline,upi,good,2,0,Axis,0
11958.11,duplicate,card,good,2,71,ICICI,0
36438.0,timeout,card,medium,3,16,Axis,0
18452.38,hard_decline,upi,good,3,19,None,0
31652.06,timeout,netbanking,medium,2,58,ICICI,0
31713.13,hard_decline,upi,bad,2,12,HDFC,0
26835.16,soft_decline,upi,good,1,46,Axis,0
4605.46,duplicate,card,medium,1,49,Axis,0
41781.59,soft_decline,card,bad,1,39,ICICI,0
16106.93,hard_decline,card,bad,2,6,ICICI,0
9407.27,soft_decline,netbanking,bad,1,54,HDFC,0
2134.68,hard_decline,card,bad,2,50,None,0
29585.56,hard_decline,netbanking,medium,3,1,ICICI,0
33910.46,hard_decline,netbanking,bad,2,13,HDFC,0
927.73,soft_decline,card,bad,3,16,None,0
25653.44,hard_decline,card,medium,3,0,None,0
11402.14,soft_decline,card,medium,2,0,SBI,1
32294.12,soft_decline,card,medium,1,25,None,1
8800.88,soft_decline,card,medium,2,45,SBI,1
34577.79,timeout,netbanking,good,1,12,ICICI,1
19398.09,hard_decline,card,medium,3,33,SBI,0
46842.83,timeout,card,medium,3,61,SBI,1
6962.3,timeout,card,medium,3,50,HDFC,1
17119.21,timeout,netbanking,good,3,40,HDFC,1
5762.33,hard_decline,upi,bad,2,54,None,0
46242.21,soft_decline,netbanking,good,3,27,ICICI,0
43879.23,soft_decline,netbanking,good,1,60,ICICI,0
12971.29,timeout,card,medium,1,6,None,0
33033.2,hard_decline,card,medium,3,1,HDFC,0
40879.39,timeout,card,good,2,1,ICICI,1
27804.52,timeout,card,medium,3,27,None,0
26529.56,soft_decline,upi,bad,3,53,ICICI,0
12168.43,soft_decline,card,medium,1,57,Axis,1
4745.83,timeout,card,medium,2,46,None,0
44871.07,soft_decline,upi,good,2,60,ICICI,0
45030.86,soft_decline,upi,medium,1,39,ICICI,1
31691.76,timeout,upi,bad,1,17,SBI,1
17017.59,soft_decline,card,medium,1,13,None,1
17525.56,duplicate,netbanking,bad,2,24,Axis,0
36325.19,timeout,upi,medium,1,9,HDFC,1
44865.8,timeout,card,bad,1,47,ICICI,1
44365.61,soft_decline,upi,bad,1,47,ICICI,0
39015.79,soft_decline,netbanking,bad,3,60,None,0
32137.38,hard_decline,card,bad,2,52,ICICI,0
4298.58,soft_decline,card,medium,2,8,None,0
8165.27,soft_decline,card,bad,3,10,ICICI,1
44937.85,soft_decline,card,medium,2,26,HDFC,0
30360.81,soft_decline,netbanking,bad,1,58,SBI,0
558.93,soft_decline,card,good,3,57,ICICI,1
5163.43,timeout,upi,medium,1,12,Axis,0
33208.74,soft_decline,upi,bad,1,64,None,1
352.57,soft_decline,upi,good,1,10,None,1
8124.32,timeout,card,medium,1,56,ICICI,1
27481.82,duplicate,card,bad,2,66,HDFC,0
34625.57,soft_decline,card,good,3,65,None,0
32632.87,soft_decline,card,medium,3,23,None,0
11291.04,hard_decline,card,medium,1,48,ICICI,0
35637.74,duplicate,netbanking,medium,3,39,None,0
11938.73,timeout,card,good,3,69,None,0
16337.44,timeout,upi,good,1,1,ICICI,0
37349.92,soft_decline,card,good,1,53,None,1
32516.68,hard_decline,upi,good,2,14,ICICI,0
42476.25,soft_decline,netbanking,good,2,47,SBI,1
32914.88,timeout,card,bad,1,53,Axis,1
28458.6,timeout,netbanking,medium,2,45,HDFC,1
4774.37,duplicate,upi,bad,2,56,Axis,0
18449.02,soft_decline,netbanking,good,3,54,None,1
13333.6,soft_decline,upi,medium,1,59,HDFC,1
12275.08,hard_decline,card,medium,3,29,ICICI,0
48653.23,timeout,card,bad,3,27,Axis,1
19715.58,timeout,card,bad,1,51,None,0
44613.12,soft_decline,upi,bad,3,40,None,0
31593.82,soft_decline,netbanking,good,2,20,HDFC,1
39761.08,hard_decline,upi,bad,2,41,Axis,0
25181.59,soft_decline,card,medium,2,12,HDFC,1
28887.5,timeout,netbanking,bad,2,44,ICICI,1
24676.63,hard_decline,upi,medium,2,53,Axis,0
9842.63,timeout,card,medium,3,18,HDFC,1
36150.36,hard_decline,card,good,1,26,None,0
14110.54,timeout,card,medium,3,39,None,1
1313.37,soft_decline,netbanking,good,3,6,SBI,0
32309.07,timeout,netbanking,good,2,24,SBI,0
8937.82,soft_decline,card,good,2,48,None,1
47028.88,hard_decline,card,bad,3,35,HDFC,0
47701.04,soft_decline,upi,medium,3,70,HDFC,1
45751.73,hard_decline,netbanking,bad,1,23,ICICI,0
18570.92,soft_decline,upi,bad,1,60,ICICI,0
871.29,soft_decline,upi,bad,1,68,None,1
46423.1,duplicate,card,bad,1,51,HDFC,0
21466.39,soft_decline,upi,bad,1,35,ICICI,1
48336.08,timeout,card,good,2,50,None,1
48184.64,duplicate,netbanking,good,1,32,None,0
42665.17,soft_decline,card,medium,3,52,Axis,1
14793.0,timeout,netbanking,medium,2,37,ICICI,0
19316.38,soft_decline,card,good,3,43,HDFC,0
42571.72,soft_decline,netbanking,medium,2,4,None,1
15914.41,hard_decline,card,medium,2,30,ICICI,0
8557.69,duplicate,card,bad,1,8,None,0
27884.38,soft_decline,upi,medium,3,31,None,0
46814.12,hard_decline,card,medium,1,40,SBI,0
34831.89,hard_decline,netbanking,medium,3,4,None,0
28546.05,timeout,upi,medium,3,50,ICICI,0
4949.11,soft_decline,upi,bad,1,53,None,0
30788.86,timeout,netbanking,good,1,27,Axis,1
49503.69,timeout,netbanking,medium,2,42,HDFC,0
7090.19,timeout,upi,medium,2,11,None,1
25964.65,duplicate,netbanking,medium,2,68,None,0
43880.92,timeout,card,good,3,71,Axis,0
37064.35,soft_decline,card,good,1,16,None,0
34881.09,hard_decline,upi,good,2,7,None,0
35153.96,soft_decline,card,medium,1,17,None,1
18038.61,soft_decline,card,bad,2,9,SBI,0
14750.23,hard_decline,card,medium,2,38,None,0
40487.12,soft_decline,card,good,1,40,SBI,1
40524.66,hard_decline,netbanking,medium,2,43,SBI,1
43366.91,duplicate,upi,good,1,68,HDFC,0
45670.7,soft_decline,netbanking,bad,2,42,None,0
25615.99,duplicate,upi,medium,1,46,SBI,0
25125.66,hard_decline,card,bad,2,47,ICICI,0
39934.93,timeout,card,medium,2,18,ICICI,1
32533.2,timeout,card,bad,3,20,ICICI,1
35128.15,soft_decline,netbanking,good,1,2,HDFC,1
39810.05,hard_decline,card,good,2,55,SBI,0
44511.27,hard_decline,card,good,3,42,None,1
16965.96,soft_decline,netbanking,medium,1,0,HDFC,1
18841.59,duplicate,upi,medium,2,35,None,0
4789.7,timeout,card,medium,2,5,HDFC,0
28956.18,soft_decline,card,bad,2,45,None,0
1893.52,soft_decline,netbanking,good,1,22,None,0
23333.34,hard_decline,netbanking,medium,3,19,None,0
27177.97,soft_decline,card,bad,2,52,ICICI,1
14398.41,timeout,card,medium,3,37,None,0
29582.58,soft_decline,netbanking,bad,1,34,SBI,0
1621.96,hard_decline,upi,medium,1,33,HDFC,0
1963.67,soft_decline,netbanking,medium,2,49,ICICI,1
41147.77,soft_decline,upi,good,2,46,HDFC,0
18073.51,timeout,netbanking,bad,2,35,ICICI,1
6440.32,hard_decline,card,bad,3,15,None,1
26159.94,duplicate,card,bad,3,48,None,0
38522.68,timeout,upi,medium,2,64,HDFC,0
10869.47,soft_decline,upi,bad,1,62,ICICI,0
31182.23,soft_decline,netbanking,medium,1,51,HDFC,0
4358.84,timeout,card,medium,2,59,None,1
2678.92,duplicate,netbanking,bad,3,16,None,0
26614.6,timeout,card,good,1,66,HDFC,1
27077.69,soft_decline,upi,good,3,37,None,0
31907.75,duplicate,card,medium,2,28,ICICI,0
36331.96,soft_decline,upi,bad,3,30,ICICI,0
48795.02,timeout,upi,medium,3,58,HDFC,1
25863.39,duplicate,card,medium,3,53,HDFC,0
16215.53,soft_decline,card,bad,1,52,HDFC,0
39779.79,duplicate,upi,medium,3,25,SBI,0
13614.53,soft_decline,netbanking,good,3,12,Axis,0
22004.67,duplicate,card,medium,3,56,HDFC,0
4014.97,soft_decline,card,bad,2,18,ICICI,0
1365.0,duplicate,card,good,3,26,HDFC,0
48136.16,soft_decline,netbanking,medium,3,12,None,0
41815.41,timeout,card,good,1,51,HDFC,1
34829.11,hard_decline,card,medium,2,63,HDFC,0
20506.75,hard_decline,upi,good,3,57,HDFC,0
8747.39,soft_decline,upi,medium,1,18,HDFC,1
7906.21,timeout,card,medium,1,2,SBI,1
12587.12,soft_decline,netbanking,bad,3,66,HDFC,1
27506.41,hard_decline,upi,bad,1,25,ICICI,1
35758.34,soft_decline,upi,bad,1,5,None,1
33043.85,duplicate,card,medium,1,12,None,0
14068.7,soft_decline,netbanking,good,1,26,None,1
47747.78,soft_decline,card,good,3,9,None,1
36921.06,soft_decline,card,bad,3,15,Axis,0
27762.27,hard_decline,card,medium,1,22,None,0
30624.87,soft_decline,upi,bad,3,46,SBI,1
21038.04,hard_decline,upi,good,3,11,None,0
12461.78,timeout,upi,good,1,27,None,1
17863.04,timeout,card,medium,1,17,None,1
37916.52,hard_decline,upi,medium,1,57,None,0
818.24,soft_decline,upi,good,3,1,ICICI,0
5892.02,timeout,card,medium,3,45,ICICI,0
2395.53,soft_decline,netbanking,medium,2,16,ICICI,1
2132.37,timeout,card,medium,2,63,SBI,0
42787.48,soft_decline,upi,good,1,64,None,0
35212.53,hard_decline,card,bad,2,53,None,0
23761.27,soft_decline,upi,medium,3,42,Axis,1
4981.92,timeout,netbanking,medium,2,54,ICICI,1
24631.63,soft_decline,netbanking,medium,2,13,ICICI,1
23726.24,hard_decline,card,bad,1,43,Axis,0
8742.77,soft_decline,card,medium,3,37,SBI,0
21749.2,timeout,card,bad,3,57,ICICI,1
19985.39,duplicate,netbanking,medium,3,48,HDFC,0
30830.92,hard_decline,upi,good,3,15,None,0
31791.17,hard_decline,card,medium,2,29,None,0
2360.67,duplicate,card,medium,1,67,ICICI,0
18793.17,hard_decline,netbanking,medium,2,70,SBI,0
31330.41,hard_decline,upi,medium,3,36,None,0
25206.5,hard_decline,card,good,1,68,SBI,0
42838.84,timeout,card,medium,1,54,None,1
32968.81,soft_decline,card,bad,3,38,HDFC,0
8230.43,timeout,upi,medium,3,56,None,0
3621.38,hard_decline,netbanking,medium,1,48,ICICI,0
32156.72,soft_decline,netbanking,bad,3,62,Axis,0
1422.91,timeout,card,medium,3,33,ICICI,1
29330.2,soft_decline,netbanking,good,3,56,None,0
47017.49,soft_decline,card,bad,3,61,HDFC,1
28816.16,timeout,card,good,1,38,SBI,1
19469.68,timeout,netbanking,bad,1,66,None,1
32200.08,timeout,card,good,2,61,SBI,1
22966.82,duplicate,card,good,2,28,None,0
27326.28,timeout,netbanking,good,1,30,None,1
47079.09,soft_decline,card,medium,2,59,HDFC,1
19366.52,soft_decline,upi,good,3,38,SBI,0
48063.41,timeout,netbanking,good,3,0,Axis,1
45277.0,soft_decline,upi,bad,1,55,None,0
9869.98,timeout,card,bad,2,57,HDFC,1
3561.13,timeout,card,bad,3,20,Axis,0
5128.82,soft_decline,card,bad,2,53,HDFC,0
1009.27,duplicate,card,medium,1,70,None,0
4812.7,hard_decline,upi,bad,1,42,ICICI,0
34182.04,hard_decline,card,medium,2,53,ICICI,0
3652.31,duplicate,card,medium,1,1,None,0
16016.88,hard_decline,upi,bad,3,13,None,0
42259.28,soft_decline,upi,good,3,2,ICICI,1
1261.27,hard_decline,netbanking,bad,2,13,SBI,0
40741.98,timeout,card,medium,2,4,Axis,1
14164.55,timeout,netbanking,good,1,38,None,1
5996.42,timeout,upi,good,1,0,None,0
34867.18,timeout,card,good,2,42,ICICI,1
31484.25,soft_decline,card,bad,1,58,SBI,0
43885.85,timeout,card,bad,2,14,HDFC,1
36780.05,timeout,upi,medium,2,45,None,0
40193.7,soft_decline,card,good,3,6,None,1
14173.53,soft_decline,netbanking,good,1,41,ICICI,1
8954.23,duplicate,upi,bad,2,6,ICICI,0
37555.68,timeout,netbanking,good,3,46,HDFC,1
40361.05,timeout,card,bad,2,18,SBI,1
49526.21,timeout,card,medium,1,52,Axis,1
20689.62,hard_decline,card,bad,3,15,None,0
18663.7,timeout,card,medium,1,61,Axis,1
38843.01,hard_decline,netbanking,medium,3,65,Axis,0
17106.1,soft_decline,card,medium,1,64,None,1
46544.79,timeout,card,bad,2,50,SBI,1
42934.8,hard_decline,card,bad,2,35,HDFC,1
21506.8,timeout,card,medium,2,34,None,1
37568.47,hard_decline,netbanking,medium,1,23,SBI,0
37751.69,hard_decline,upi,bad,3,68,None,0
5245.88,soft_decline,upi,bad,1,28,SBI,1
45137.39,soft_decline,card,medium,2,0,Axis,1
25312.09,soft_decline,netbanking,good,1,56,SBI,1
41340.23,soft_decline,upi,good,3,8,ICICI,0
16070.48,duplicate,card,bad,2,14,None,0
44786.61,soft_decline,card,good,1,15,Axis,1
19521.16,soft_decline,netbanking,good,2,47,SBI,1
640.8,hard_decline,upi,good,1,35,HDFC,0
45278.56,timeout,upi,medium,1,52,None,1
4655.21,soft_decline,card,medium,2,2,None,0
16033.75,timeout,card,good,3,18,SBI,1
47508.09,timeout,upi,good,2,40,HDFC,1
47535.3,soft_decline,upi,bad,3,36,HDFC,0
28714.55,soft_decline,upi,bad,2,58,HDFC,0
31628.68,duplicate,upi,good,2,66,SBI,0
22477.43,timeout,card,good,2,7,None,1
14731.22,timeout,upi,medium,1,13,ICICI,1
16500.36,soft_decline,netbanking,bad,1,60,SBI,0
33658.67,hard_decline,netbanking,bad,3,34,SBI,0
37643.49,hard_decline,card,bad,2,15,HDFC,0
39599.79,soft_decline,card,bad,1,70,HDFC,1
39501.95,hard_decline,netbanking,good,1,34,SBI,0
4651.18,timeout,upi,good,2,7,ICICI,0
24771.57,soft_decline,upi,medium,2,59,SBI,1
2972.18,timeout,netbanking,bad,2,11,HDFC,1
27521.49,timeout,upi,medium,3,48,None,0
22132.37,soft_decline,upi,bad,2,67,None,0
44396.44,timeout,card,bad,1,34,Axis,0
17610.66,soft_decline,card,bad,1,44,SBI,0
5941.64,timeout,card,good,2,40,ICICI,1
7235.28,soft_decline,netbanking,good,3,60,Axis,0
38099.38,soft_decline,card,bad,3,14,None,0
30949.08,timeout,card,good,1,66,None,0
5146.02,hard_decline,netbanking,good,3,58,ICICI,0
4296.93,duplicate,upi,bad,2,1,HDFC,0
35078.36,soft_decline,upi,bad,3,5,ICICI,1
3730.87,soft_decline,card,good,3,56,HDFC,0
41110.82,hard_decline,netbanking,bad,1,15,SBI,1
35341.49,hard_decline,card,good,1,22,ICICI,1
4159.3,soft_decline,card,good,1,40,None,0
4333.4,timeout,card,medium,3,29,Axis,0
49333.31,timeout,card,bad,1,66,HDFC,1
18776.11,timeout,card,good,1,54,HDFC,0
18595.04,duplicate,upi,medium,3,3,SBI,0
40658.7,soft_decline,card,good,3,27,Axis,1
47367.7,timeout,upi,bad,3,49,None,1
49301.45,soft_decline,card,medium,2,27,None,0
37693.57,timeout,card,medium,2,52,None,1
18875.35,hard_decline,upi,good,3,66,SBI,0
4266.69,duplicate,netbanking,medium,1,25,SBI,0
38879.63,timeout,netbanking,medium,3,38,None,1
27964.37,duplicate,netbanking,bad,2,12,None,0
21268.68,timeout,upi,good,1,70,SBI,1
45327.08,duplicate,upi,bad,2,53,Axis,0
5648.75,timeout,upi,medium,2,12,ICICI,1
24681.99,hard_decline,upi,good,2,58,None,0
666.55,soft_decline,card,medium,2,3,None,1
23486.17,soft_decline,upi,medium,1,56,ICICI,1
2909.53,soft_decline,card,bad,3,59,None,0
6029.01,hard_decline,card,bad,1,46,None,0
5964.56,hard_decline,upi,medium,3,4,ICICI,1
32495.59,hard_decline,card,good,3,35,HDFC,0
37327.64,duplicate,card,good,1,18,None,0
29210.1,duplicate,card,medium,3,29,Axis,0
48112.41,soft_decline,netbanking,bad,1,40,None,0
18806.04,soft_decline,card,bad,1,47,ICICI,1
14357.03,hard_decline,card,good,3,27,Axis,0
43443.1,soft_decline,netbanking,good,3,30,Axis,0
11257.43,timeout,card,medium,2,56,HDFC,0
48164.8,hard_decline,card,bad,3,42,None,0
706.51,hard_decline,card,medium,3,64,Axis,1
48496.95,timeout,card,medium,3,8,Axis,0
2253.68,timeout,card,medium,1,11,ICICI,1
44568.04,soft_decline,card,good,2,11,Axis,1
26432.29,timeout,card,medium,2,41,None,1
49648.94,hard_decline,netbanking,bad,1,52,None,0
3782.45,soft_decline,upi,bad,3,56,None,0
27737.33,soft_decline,upi,medium,3,15,HDFC,1
48468.2,hard_decline,card,good,1,49,HDFC,0
26202.58,soft_decline,card,medium,2,3,None,0
31506.99,soft_decline,netbanking,bad,1,12,None,0
34817.86,timeout,card,good,1,59,Axis,1
22781.6,timeout,netbanking,bad,3,27,HDFC,1
31415.15,soft_decline,card,bad,1,11,Axis,0
29257.28,soft_decline,netbanking,medium,1,23,None,1
45067.78,timeout,card,medium,1,0,HDFC,1
2367.77,soft_decline,card,bad,3,33,HDFC,0
14120.06,duplicate,upi,medium,3,2,ICICI,0
47525.53,timeout,upi,good,2,21,HDFC,1
44524.16,soft_decline,card,good,2,26,HDFC,1
22837.27,soft_decline,netbanking,good,2,20,ICICI,0
31044.62,soft_decline,card,bad,3,12,SBI,0
13941.32,soft_decline,card,medium,2,43,HDFC,1
9487.25,soft_decline,upi,medium,1,23,Axis,1
23238.55,timeout,upi,bad,2,45,ICICI,1
17732.28,soft_decline,netbanking,medium,1,16,ICICI,1
29224.44,hard_decline,card,bad,2,4,None,0
3978.96,hard_decline,card,medium,3,37,None,0
48722.3,soft_decline,upi,medium,1,58,SBI,1
49311.92,soft_decline,card,medium,1,26,SBI,0
34938.27,soft_decline,card,bad,3,53,HDFC,0
26851.21,soft_decline,card,bad,1,70,None,0
15545.43,timeout,card,good,2,54,HDFC,1
40708.37,soft_decline,card,bad,3,70,HDFC,0
34268.09,timeout,card,bad,1,42,SBI,1
8214.59,hard_decline,upi,good,3,37,HDFC,0
45555.27,hard_decline,upi,good,1,60,Axis,0
41144.61,hard_decline,card,medium,1,44,HDFC,0
47495.02,timeout,card,medium,3,57,HDFC,1
36313.4,soft_decline,card,medium,1,28,None,1
30709.42,soft_decline,card,good,2,53,Axis,0
20970.33,hard_decline,upi,medium,2,33,HDFC,0
46643.15,soft_decline,netbanking,good,1,20,ICICI,0
43316.59,hard_decline,upi,good,1,44,ICICI,0
2356.41,timeout,upi,medium,2,0,None,1
1415.71,hard_decline,card,medium,1,9,Axis,0
18885.52,timeout,card,medium,1,57,SBI,1
40546.61,hard_decline,netbanking,bad,3,27,HDFC,0
49365.08,timeout,netbanking,good,3,60,Axis,1
7605.8,timeout,card,good,2,29,HDFC,1
29747.12,hard_decline,card,good,2,27,SBI,0
19106.45,timeout,upi,medium,3,28,Axis,1
48498.73,timeout,card,bad,3,30,None,0
42121.73,hard_decline,upi,medium,2,67,None,0
41932.6,hard_decline,netbanking,medium,2,30,HDFC,0
23487.79,timeout,card,medium,2,40,None,1
20799.49,hard_decline,netbanking,medium,3,63,HDFC,0
13743.01,soft_decline,netbanking,medium,3,41,ICICI,1
2913.14,timeout,netbanking,medium,1,43,HDFC,0
43249.65,soft_decline,card,good,2,30,None,0
40663.76,timeout,card,bad,1,10,SBI,1
49985.91,timeout,upi,medium,2,35,HDFC,1
49832.18,duplicate,card,good,3,31,HDFC,0
27816.04,soft_decline,card,medium,2,38,ICICI,0
38472.47,hard_decline,card,bad,2,66,None,0
47243.81,hard_decline,upi,good,3,59,Axis,1
42497.4,soft_decline,card,good,3,24,ICICI,1
12442.67,soft_decline,card,medium,2,27,None,1
22582.15,hard_decline,card,medium,2,18,HDFC,0
6545.05,hard_decline,upi,good,2,28,Axis,0
47707.15,soft_decline,upi,bad,2,49,SBI,1
30348.11,timeout,card,medium,2,18,ICICI,1
11509.28,timeout,netbanking,bad,3,55,ICICI,1
